seed,window_size,send_max_try,request_count,simulation_duration_s,simulator_accuracy,node_count,edge_probability,memory_size,query_time_s,link_rate_pairs_s,link_delay_s,link_buffer,algorithm,congestion_history_weight,smoothing_epsilon,mean_request_throughput_pairs_s,total_edr_pairs_s,completed_pairs,dropped_pairs,in_flight_pairs,request_edrs_pairs_s,edr_cv,topology_signature,request_pairs,mean_signal_gap,mean_abs_signal_gap
101,3,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,52.340000,261.700000,2617,358,30,58.200000;57.400000;58.300000;29.200000;58.600000,0.221185,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.542381,0.542381
202,3,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,48.940000,244.700000,2447,536,30,31.800000;57.800000;58.600000;38.300000;58.200000,0.235568,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.419841,0.419841
202,3,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,48.940000,244.700000,2447,536,30,31.800000;57.800000;58.600000;38.300000;58.200000,0.235568,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.419841,0.419841
303,3,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,58.340000,291.700000,2917,0,30,58.200000;58.300000;58.300000;58.300000;58.600000,0.002325,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.570000,0.570000
303,3,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,58.340000,291.700000,2917,0,30,58.200000;58.300000;58.300000;58.300000;58.600000,0.002325,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.570000,0.570000
101,3,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,58.280000,291.400000,2914,1,30,58.300000;58.300000;58.300000;57.900000;58.600000,0.003821,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.562937,0.562937
101,3,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,58.260000,291.300000,2913,0,30,58.100000;58.300000;58.300000;58.000000;58.600000,0.003534,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.425000,0.425000
202,3,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,53.480000,267.400000,2674,45,36,46.600000;58.300000;58.600000;46.900000;57.000000,0.103255,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.402241,0.402241
202,3,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,55.660000,278.300000,2783,1,36,53.200000;58.000000;58.600000;51.300000;57.200000,0.051793,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.307584,0.307584
303,3,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,58.340000,291.700000,2917,0,30,58.200000;58.300000;58.300000;58.300000;58.600000,0.002325,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.570000,0.570000
303,3,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,57.960000,289.800000,2898,0,30,58.200000;58.300000;56.400000;58.300000;58.600000,0.013655,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.438462,0.438462
101,3,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,58.300000,291.500000,2915,0,30,58.300000;58.300000;58.300000;58.000000;58.600000,0.003254,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.574380,0.574380
